,sim_question,sim_option,survey_total,survey_nonstate,survey_state
38,"[""39.  In A typical member of the Russian elites's opinion, defending Russian economic interests makes the use of natural resources for political goals permissible?""]","{'No': [67.6775561660304, 0], 'Yes': [86.24660441095115, 0]}","No    NaN
Yes   NaN
Name: RESECON, dtype: float64","No    NaN
Yes   NaN
Name: RESECON, dtype: float64","No    NaN
Yes   NaN
Name: RESECON, dtype: float64"
39,"[""40.  In A typical member of the Russian elites's opinion, defending the interests of Russians [rossiyan] living in the former republics of the USSR makes the use of natural resources for political goals permissible?""]","{'Yes': [63.59988431732611, 24.361654473037866]}","No    NaN
Yes   NaN
Name: RESRUSXSU, dtype: float64","No    NaN
Yes   NaN
Name: RESRUSXSU, dtype: float64","No    NaN
Yes   NaN
Name: RESRUSXSU, dtype: float64"
40,"[""41.  In A typical member of the Russian elites's opinion, defending the interests of Russian citizens in other countries makes the use of natural resources for political goals permissible?""]","{'No': [76.12556636891193, 0], 'Yes': [74.59285357119063, 0]}","No    NaN
Yes   NaN
Name: RESRUSOTH, dtype: float64","No    NaN
Yes   NaN
Name: RESRUSOTH, dtype: float64","No    NaN
Yes   NaN
Name: RESRUSOTH, dtype: float64"
41,"[""42.  In A typical member of the Russian elites's opinion, safeguarding Russian national security in other countries makes the use of natural resources for political goals permissible?""]","{'No': [56.09227968234711, 0], 'Yes': [83.96549628844835, 0]}","No    NaN
Yes   NaN
Name: RESNATSEC, dtype: float64","No    NaN
Yes   NaN
Name: RESNATSEC, dtype: float64","No    NaN
Yes   NaN
Name: RESNATSEC, dtype: float64"
42,"[""43.  In A typical member of the Russian elites's opinion, providing security for Russia's international friends makes the use of natural resources for political goals permissible?""]","{'No': [83.89489505131593, 0], 'Yes': [73.3513101453245, 0]}","No    NaN
Yes   NaN
Name: RESFRIENDS, dtype: float64","No    NaN
Yes   NaN
Name: RESFRIENDS, dtype: float64","No    NaN
Yes   NaN
Name: RESFRIENDS, dtype: float64"
43,"[""44.  In A typical member of the Russian elites's opinion,  achieving a military balance with the West makes the use of natural resources for political goals permissible?""]","{'No': [66.8409760222445, 0], 'Yes': [86.51995110784156, 0]}","No    NaN
Yes   NaN
Name: RESBALWEST, dtype: float64","No    NaN
Yes   NaN
Name: RESBALWEST, dtype: float64","No    NaN
Yes   NaN
Name: RESBALWEST, dtype: float64"
44,"[""45.  In A typical member of the Russian elites's opinion,  supporting and protecting human rights in other countries makes the use of natural resources for political goals permissible?""]","{'No': [92.13732820727459, 0], 'Yes': [67.22766510951162, 0]}","No    NaN
Yes   NaN
Name: RESHUMRTS, dtype: float64","No    NaN
Yes   NaN
Name: RESHUMRTS, dtype: float64","No    NaN
Yes   NaN
Name: RESHUMRTS, dtype: float64"
45,['46.  Do you think people like A typical member of the Russian elites can influence decisions in the realm of foreign policy?  '],"{'Significant influence': [63.214744724858186, 23.136663908422033], 'Some influence': [56.22459461939716, 12.638671526828025]}","No, they cannot                      0.588745
Some influence                       0.393939
Significant influence                0.017316
(1993 to 2004) Decisive influence    0.000000
Name: INFLFP, dtype: float64","Some influence                       0.577320
No, they cannot                      0.381443
Significant influence                0.041237
(1993 to 2004) Decisive influence    0.000000
Name: INFLFP, dtype: float64","No, they cannot                      0.738806
Some influence                       0.261194
(1993 to 2004) Decisive influence    0.000000
Significant influence                0.000000
Name: INFLFP, dtype: float64"
46,"[""47.  According to A typical member of the Russian elites, the impact that Russia's foreign policy in recent years has had on Russia's international influence""]","{'Definitely negative': [55.853594648085824, 0], 'Definitely positive': [51.99459578598839, 0]}","Rather positive        0.493878
Definitely positive    0.330612
No impact              0.106122
Rather negative        0.069388
Name: FPRUINFL, dtype: float64","Rather positive        0.466667
Definitely positive    0.428571
No impact              0.076190
Rather negative        0.028571
Name: FPRUINFL, dtype: float64","Rather positive        0.514286
Definitely positive    0.257143
No impact              0.128571
Rather negative        0.100000
Name: FPRUINFL, dtype: float64"
47,"[""48.  According to A typical member of the Russian elites, the impact that Russia's foreign policy in recent years has had on Russia's the standard of living in Russia""]","{'Definitely negative': [70.16447199527566, 0], 'Definitely positive': [41.85906941943807, 0]}","No impact              0.401747
Rather positive        0.318777
Rather negative        0.179039
Definitely positive    0.078603
Definitely negative    0.021834
Name: FPRULIV, dtype: float64","No impact              0.45
Rather positive        0.31
Definitely positive    0.14
Rather negative        0.09
Definitely negative    0.01
Name: FPRULIV, dtype: float64","No impact              0.364341
Rather positive        0.325581
Rather negative        0.248062
Definitely negative    0.031008
Definitely positive    0.031008
Name: FPRULIV, dtype: float64"
48,"[""49.  According to A typical member of the Russian elites, the impact that Russia's foreign policy in recent years has had on Russia's relationship with the US""]","{'Definitely negative': [67.63534374790416, 4.992511148805926]}","Rather negative        0.340164
No impact              0.278689
Rather positive        0.217213
Definitely negative    0.127049
Definitely positive    0.036885
Name: FPRUUS, dtype: float64","Rather positive        0.352381
Rather negative        0.285714
No impact              0.266667
Definitely negative    0.066667
Definitely positive    0.028571
Name: FPRUUS, dtype: float64","Rather negative        0.381295
No impact              0.287770
Definitely negative    0.172662
Rather positive        0.115108
Definitely positive    0.043165
Name: FPRUUS, dtype: float64"
49,"[""50.  According to A typical member of the Russian elites, the impact that Russia's foreign policy in recent years has had on Russia's international image""]","{'Definitely negative': [67.7314585326015, 13.55498938315979]}","Rather positive        0.506224
Definitely positive    0.232365
Rather negative        0.132780
No impact              0.103734
Definitely negative    0.024896
Name: FPIMAGE, dtype: float64","Rather positive        0.509615
Definitely positive    0.298077
No impact              0.105769
Rather negative        0.086538
Definitely negative    0.000000
Name: FPIMAGE, dtype: float64","Rather positive        0.503650
Definitely positive    0.182482
Rather negative        0.167883
No impact              0.102190
Definitely negative    0.043796
Name: FPIMAGE, dtype: float64"
50,['51.  There are various opinions about the extent to which the Internet should be regulated. A typical member of the Russian elites thinks that'],"{'Internet content should be completely free of government control.': [63.40186460093743, 32.06072342404738]}","3.0                                                                         0.301653
Internet content should be completely free of government control.           0.264463
4.0                                                                         0.210744
2.0                                                                         0.144628
Internet content should be under the complete control of the government.    0.078512
Name: REGINTERNET, dtype: float64","3.0                                                                         0.413462
2.0                                                                         0.240385
4.0                                                                         0.134615
Internet content should be under the complete control of the government.    0.134615
Internet content should be completely free of government control.           0.076923
Name: REGINTERNET, dtype: float64","Internet content should be completely free of government control.           0.405797
4.0                                                                         0.268116
3.0                                                                         0.217391
2.0                                                                         0.072464
Internet content should be under the complete control of the government.    0.036232
Name: REGINTERNET, dtype: float64"
51,['52.  There are various opinions about how order in the country should be established. A typical member of the Russian elites thinks that in Russia there should be…'],"{'Order at any price': [87.5722385327042, 0], 'Order without violations of human rights': [80.69232665930562, 0]}","Order without violations of human rights    0.424490
3.0                                         0.244898
4.0                                         0.146939
2.0                                         0.097959
Order at any price                          0.085714
Name: FPHMNRHT, dtype: float64","Order without violations of human rights    0.285714
3.0                                         0.276190
2.0                                         0.209524
4.0                                         0.133333
Order at any price                          0.095238
Name: FPHMNRHT, dtype: float64","Order without violations of human rights    0.528571
3.0                                         0.221429
4.0                                         0.157143
Order at any price                          0.078571
2.0                                         0.014286
Name: FPHMNRHT, dtype: float64"
52,"['53.  What type of political system, according to A typical member of the Russian elites, is most appropriate for Russia?']","{'A Western-style democracy': [36.41159364609424, 4.649922704463089], 'The Soviet system that existed before perestroika': [34.27641639535292, 2.8317711002834356], 'The Soviet system, but in a different, more democratic form': [37.4297773823241, 3.258652338394325], 'The current political system': [44.93980569216597, 7.8091922168245675]}","(1999) A Western-style democracy; (2004 to 2020) The current political system                                      0.507109
(2004 to 2020) A Western-style democracy                                                                           0.255924
(1999) The current political system; (2004 to 2020) The Soviet system, but in a different, more democratic form    0.218009
The Soviet system that existed before perestroika                                                                  0.018957
Name: RUSSYST, dtype: float64","(1999) A Western-style democracy; (2004 to 2020) The current political system                                      0.648936
(1999) The current political system; (2004 to 2020) The Soviet system, but in a different, more democratic form    0.212766
(2004 to 2020) A Western-style democracy                                                                           0.117021
The Soviet system that existed before perestroika                                                                  0.021277
Name: RUSSYST, dtype: float64","(1999) A Western-style democracy; (2004 to 2020) The current political system                                      0.393162
(2004 to 2020) A Western-style democracy                                                                           0.367521
(1999) The current political system; (2004 to 2020) The Soviet system, but in a different, more democratic form    0.222222
The Soviet system that existed before perestroika                                                                  0.017094
Name: RUSSYST, dtype: float64"
53,"['54.  What do you think, in what year will someone other than A typical member of the Russian elites become the most powerful person in Russia? Most likely, this will occur...']","{'After 2030': [46.16463691969477, 8.888791384472999], 'Sometime between 2021 and 2024': [43.93188715493528, 5.331468838158643], 'Sometime between 2025 and 2030': [39.94562723220966, 7.163673780310685]}","Sometime between 2025 and 2030    0.427907
After 2030                        0.348837
Sometime between 2021 and 2024    0.218605
In 2020                           0.004651
Name: LIKELYWHEN1, dtype: float64","Sometime between 2025 and 2030    0.446809
After 2030                        0.340426
Sometime between 2021 and 2024    0.202128
In 2020                           0.010638
Name: LIKELYWHEN1, dtype: float64","Sometime between 2025 and 2030    0.413223
After 2030                        0.355372
Sometime between 2021 and 2024    0.231405
In 2020                           0.000000
Name: LIKELYWHEN1, dtype: float64"
54,"['55.  In your opinion, how will A typical member of the Russian elites distribute power when he leaves the presidency?']","{'Keep all power in his own hands despite leaving the presidency': [42.841362027753874, 6.001791359021801], 'Transfer all power to a trusted successor': [32.22055088531614, 3.131905277701642], 'Transfer all power to several trusted and like-minded associates, having carefully balanced them against each other': [48.76425730607347, 10.911643506318324], 'Transfer power to at least one like-minded associate, but keep some power for himself well into the future': [45.23736122473078, 9.481669245247577]}","Transfer all power to a trusted successor                                                                              0.252294
Keep all power in his own hands despite leaving the presidency                                                         0.247706
Transfer some power to at least one like-minded associate, but keep some power for himself well into the future        0.233945
Let voters decide in fully free and fair elections, even if this allows a true opposition figure to win                0.197248
Transfer all power to several trusted and like-minded associates, having carefully balanced them against each other    0.068807
Name: LIKELYPUFUTURE, dtype: float64","Let voters decide in fully free and fair elections, even if this allows a true opposition figure to win                0.322581
Keep all power in his own hands despite leaving the presidency                                                         0.268817
Transfer all power to a trusted successor                                                                              0.225806
Transfer some power to at least one like-minded associate, but keep some power for himself well into the future        0.139785
Transfer all power to several trusted and like-minded associates, having carefully balanced them against each other    0.043011
Name: LIKELYPUFUTURE, dtype: float64","Transfer some power to at least one like-minded associate, but keep some power for himself well into the future        0.304
Transfer all power to a trusted successor                                                                              0.272
Keep all power in his own hands despite leaving the presidency                                                         0.232
Let voters decide in fully free and fair elections, even if this allows a true opposition figure to win                0.104
Transfer all power to several trusted and like-minded associates, having carefully balanced them against each other    0.088
Name: LIKELYPUFUTURE, dtype: float64"
55,"[""56.  What is A typical member of the Russian elites's point of view?""]","{'The power of parliament should be greater.': [61.25784090383224, 0], 'The power of the president should be greater.': [79.8378581143507, 11.519362473698859], 'The president and parliament should have equal power.': [35.731036683571645, 0]}","The president and parliament should have equal power.    0.590717
The power of parliament should be greater.               0.210970
The power of the president should be greater.            0.198312
Name: CONSTPARLPRES, dtype: float64","The president and parliament should have equal power.    0.62
The power of the president should be greater.            0.23
The power of parliament should be greater.               0.15
Name: CONSTPARLPRES, dtype: float64","The president and parliament should have equal power.    0.569343
The power of parliament should be greater.               0.255474
The power of the president should be greater.            0.175182
Name: CONSTPARLPRES, dtype: float64"
56,"[""57.  What is the main goal of the changes to Russia's constitution, according to A typical member of the Russian elites?""]","{'Laying the groundwork for Putin to transfer power to a chosen successor or successors': [69.38522415980815, 12.499041619324657], ""Preserving Putin's power beyond his current presidential term"": [84.52074913456102, 18.66938961157919]}","Preserving Putin’s power beyond his current presidential term                            0.368889
Improving the efficiency of public administration                                        0.293333
Liberalization of the political system                                                   0.173333
Laying the groundwork for Putin to transfer power to a chosen successor or successors    0.164444
Name: CONSTREFGOALS, dtype: float64","Improving the efficiency of public administration                                        0.386139
Preserving Putin’s power beyond his current presidential term                            0.287129
Liberalization of the political system                                                   0.247525
Laying the groundwork for Putin to transfer power to a chosen successor or successors    0.079208
Name: CONSTREFGOALS, dtype: float64","Preserving Putin’s power beyond his current presidential term                            0.435484
Laying the groundwork for Putin to transfer power to a chosen successor or successors    0.233871
Improving the efficiency of public administration                                        0.217742
Liberalization of the political system                                                   0.112903
Name: CONSTREFGOALS, dtype: float64"
57,['58.  Which country does A typical member of the Russian elites think can serve as a model of political and economic development for Russia?'],"{'China': [58.88537566201423, 14.393506136866035], ""Many countries could serve as a  model, but they aren't appropriate for Russia."": [63.37878375704889, 12.993762086349857]}","(2020) Many countries could serve as a model, but they aren't appropriate for Russia.    0.558952
Sweden                                                                                   0.100437
Germany                                                                                  0.074236
China                                                                                    0.069869
Japan                                                                                    0.052402
US                                                                                       0.048035
Finland                                                                                  0.043668
UK                                                                                       0.021834
Norway                                                                                   0.013100
Canada                                                                                   0.008734
Australia                                                                                0.004367
Take a little from each one                                                              0.004367
Switzerland                                                                              0.000000
Name: SEMODEL, dtype: float64","(2020) Many countries could serve as a model, but they aren't appropriate for Russia.    0.626263
China                                                                                    0.080808
Germany                                                                                  0.080808
Sweden                                                                                   0.080808
Finland                                                                                  0.050505
Japan                                                                                    0.040404
Norway                                                                                   0.020202
Australia                                                                                0.010101
US                                                                                       0.010101
Canada                                                                                   0.000000
Switzerland                                                                              0.000000
Take a little from each one                                                              0.000000
UK                                                                                       0.000000
Name: SEMODEL, dtype: float64","(2020) Many countries could serve as a model, but they aren't appropriate for Russia.    0.507692
Sweden                                                                                   0.115385
US                                                                                       0.076923
Germany                                                                                  0.069231
China                                                                                    0.061538
Japan                                                                                    0.061538
Finland                                                                                  0.038462
UK                                                                                       0.038462
Canada                                                                                   0.015385
Norway                                                                                   0.007692
Take a little from each one                                                              0.007692
Australia                                                                                0.000000
Switzerland                                                                              0.000000
Name: SEMODEL, dtype: float64"
58,"[""59.  Please select the response that is closest A typical member of the Russian elites's personal evaluation of the results of perestroika.""]","{'Definitely negative': [53.67316172295084, 16.76422911465919], 'Rather negative': [58.049460571052435, 19.98002235032567], 'Rather positive': [55.19916067886063, 14.98754437066044]}","Rather positive        0.347826
Rather negative        0.333333
Definitely negative    0.159420
Definitely positive    0.159420
Uncertain              0.000000
Name: PERESTEVAL, dtype: float64","Rather positive        0.359551
Rather negative        0.337079
Definitely positive    0.179775
Definitely negative    0.123596
Uncertain              0.000000
Name: PERESTEVAL, dtype: float64","Rather positive        0.338983
Rather negative        0.330508
Definitely negative    0.186441
Definitely positive    0.144068
Uncertain              0.000000
Name: PERESTEVAL, dtype: float64"
59,"['60.  Could you please tell me whether, on the whole, A typical member of the Russian elites is proud to be a citizen of Russia?']","{'Not very proud': [37.94228297468191, 0], 'Proud': [62.536106851841765, 18.74406371969615], 'Very proud': [67.17637390355387, 18.91255308966178]}","Very proud          0.538462
Proud               0.384615
Not very proud      0.068376
Not proud at all    0.008547
Name: PRIDE, dtype: float64","Very proud          0.663462
Proud               0.336538
Not proud at all    0.000000
Not very proud      0.000000
Name: PRIDE, dtype: float64","Very proud          0.438462
Proud               0.423077
Not very proud      0.123077
Not proud at all    0.015385
Name: PRIDE, dtype: float64"
60,['61.  Is A typical member of the Russian elites proud at all of the state of democracy in Russia?'],"{'Not proud at all': [55.485982634165175, 14.55796557809759], 'Not very proud': [56.20413202234915, 10.496037031562889], 'Proud': [41.87318036898682, 2.384502994747336], 'Very proud': [38.08368921924805, 0]}","Not very proud      0.387931
Proud               0.336207
Not proud at all    0.215517
Very proud          0.060345
Name: PRIDEDEM, dtype: float64","Proud               0.484848
Not very proud      0.343434
Very proud          0.111111
Not proud at all    0.060606
Name: PRIDEDEM, dtype: float64","Not very proud      0.421053
Not proud at all    0.330827
Proud               0.225564
Very proud          0.022556
Name: PRIDEDEM, dtype: float64"
61,"[""62.  Is A typical member of the Russian elites proud at all of Russia's political influence in the world?""]","{'Proud': [63.49743004089884, 14.210645852484618], 'Very proud': [56.571234277310325, 15.523191984289777]}","Proud               0.477178
Very proud          0.290456
Not very proud      0.182573
Not proud at all    0.049793
Name: PRIDEGLOBINF, dtype: float64","Proud               0.428571
Very proud          0.409524
Not very proud      0.133333
Not proud at all    0.028571
Name: PRIDEGLOBINF, dtype: float64","Proud               0.514706
Not very proud      0.220588
Very proud          0.198529
Not proud at all    0.066176
Name: PRIDEGLOBINF, dtype: float64"
62,"[""63.  Is A typical member of the Russian elites proud at all of Russia's economic achievements?""]","{'Not proud at all': [40.08061852506438, 9.792514770351262], 'Not very proud': [53.753972049173065, 12.447106185632723], 'Proud': [60.38324826458049, 16.987012328719942], 'Very proud': [60.98209822937589, 13.440170299719341]}","Not very proud      0.413934
Proud               0.401639
Not proud at all    0.106557
Very proud          0.077869
Name: PRIDERECON, dtype: float64","Proud               0.548077
Not very proud      0.307692
Very proud          0.105769
Not proud at all    0.038462
Name: PRIDERECON, dtype: float64","Not very proud      0.492857
Proud               0.292857
Not proud at all    0.157143
Very proud          0.057143
Name: PRIDERECON, dtype: float64"
63,"[""64.  Is A typical member of the Russian elites proud at all of Russia's armed forces?""]","{'Not proud at all': [45.780203080885826, 9.323896466375228], 'Not very proud': [44.833305402239134, 3.8479397505187887], 'Proud': [60.31747980263196, 11.994223195502006], 'Very proud': [56.037504536647894, 17.265153091650788]}","Very proud          0.577406
Proud               0.347280
Not very proud      0.058577
Not proud at all    0.016736
Name: PRIDEARMY, dtype: float64","Very proud          0.673077
Proud               0.278846
Not proud at all    0.028846
Not very proud      0.019231
Name: PRIDEARMY, dtype: float64","Very proud          0.503704
Proud               0.400000
Not very proud      0.088889
Not proud at all    0.007407
Name: PRIDEARMY, dtype: float64"
64,"[""65.  Is A typical member of the Russian elites proud at all of Russia's history?""]","{'Proud': [58.88358716779927, 13.139711782452945], 'Very proud': [68.75771142797655, 15.895369467687532]}","Very proud          0.625514
Proud               0.325103
Not very proud      0.045267
Not proud at all    0.004115
Name: PRIDEHIST, dtype: float64","Very proud          0.704762
Proud               0.266667
Not very proud      0.019048
Not proud at all    0.009524
Name: PRIDEHIST, dtype: float64","Very proud          0.565217
Proud               0.369565
Not very proud      0.065217
Not proud at all    0.000000
Name: PRIDEHIST, dtype: float64"
65,"[""66.  People have different views about what determines a person's identification with a country.  Do you think it is important, according to A typical member of the Russian elites, to speak Russian?""]","{'Important': [57.38718227233515, 17.62840784207452], 'Very important': [66.097115512787, 12.856400353097117]}","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDSPEAKRUSS, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDSPEAKRUSS, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDSPEAKRUSS, dtype: float64"
66,"[""67.  People have different views about what determines a person's identification with a country.  Do you think it is important, according to A typical member of the Russian elites, to be Russian by nationality?""]","{'Important': [60.56665067897626, 8.956921979574949], 'Very important': [63.72779649318794, 13.828515140159409]}","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSSNAT, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSSNAT, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSSNAT, dtype: float64"
67,"[""68.  People have different views about what determines a person's identification with a country.  Do you think it is important, according to A typical member of the Russian elites, to be Orthodox?""]","{'Important': [64.81199937335215, 11.69970743322374], 'Very important': [59.78613203084542, 14.055899547656807]}","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDORTHODOX, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDORTHODOX, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDORTHODOX, dtype: float64"
68,"[""69.  People have different views about what determines a person's identification with a country.  Do you think it is important, according to A typical member of the Russian elites, to respect the Russian political system and its laws?""]","{'Important': [56.436631835424606, 14.997922252332877], 'Very important': [61.69564908694099, 13.863199566486621]}","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSPOLSYST, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSPOLSYST, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSPOLSYST, dtype: float64"
69,"[""70.  People have different views about what determines a person's identification with a country.  Do you think it is important, according to A typical member of the Russian elites, to be a part of Russian culture and traditions?""]","{'Important': [60.25092950162215, 16.858960122930913], 'Very important': [70.74042458071855, 12.582845050877166]}","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSTRADITIONS, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSTRADITIONS, dtype: float64","Important              NaN
Not at all important   NaN
Not very important     NaN
Very important         NaN
Name: IDRUSTRADITIONS, dtype: float64"
70,['71.  Please tell me how friendly or hostile A typical member of the Russian elites thinks China is toward Russia today.'],"{'Neutral': [59.11229294620925, 18.37070387562746]}","Rather friendly    0.457143
Very friendly      0.297959
Neutral            0.228571
Rather hostile     0.016327
Very hostile       0.000000
Name: CHINAF, dtype: float64","Rather friendly    0.447619
Very friendly      0.295238
Neutral            0.228571
Rather hostile     0.028571
Very hostile       0.000000
Name: CHINAF, dtype: float64","Rather friendly    0.464286
Very friendly      0.300000
Neutral            0.228571
Rather hostile     0.007143
Very hostile       0.000000
Name: CHINAF, dtype: float64"
71,['72.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Ukraine is toward Russia today.'],"{'Very hostile': [83.27061217603122, 7.575985050076973]}","Rather hostile     0.510204
Very hostile       0.391837
Neutral            0.097959
Rather friendly    0.000000
Very friendly      0.000000
Name: UKRAINEF, dtype: float64","Rather hostile     0.476190
Very hostile       0.428571
Neutral            0.095238
Rather friendly    0.000000
Very friendly      0.000000
Name: UKRAINEF, dtype: float64","Rather hostile     0.535714
Very hostile       0.364286
Neutral            0.100000
Rather friendly    0.000000
Very friendly      0.000000
Name: UKRAINEF, dtype: float64"
72,['73.  Please tell me how friendly or hostile A typical member of the Russian elites thinks US is toward Russia today.'],"{'Very hostile': [77.62698420887105, 9.120111081277475]}","Very hostile       0.374486
Rather hostile     0.325103
Neutral            0.222222
Rather friendly    0.069959
99.0               0.008230
Very friendly      0.000000
Name: USF, dtype: float64","Very hostile       0.413462
Rather hostile     0.307692
Neutral            0.211538
Rather friendly    0.057692
99.0               0.009615
Very friendly      0.000000
Name: USF, dtype: float64","Very hostile       0.345324
Rather hostile     0.338129
Neutral            0.230216
Rather friendly    0.079137
99.0               0.007194
Very friendly      0.000000
Name: USF, dtype: float64"
73,['74.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Estonia is toward Russia today.'],"{'Very hostile': [75.77170859412627, 8.03933679274223]}","Rather hostile     0.454918
Very hostile       0.303279
Neutral            0.233607
Rather friendly    0.004098
Very friendly      0.004098
Name: ESTONIAF, dtype: float64","Rather hostile     0.509615
Very hostile       0.298077
Neutral            0.173077
Rather friendly    0.009615
Very friendly      0.009615
Name: ESTONIAF, dtype: float64","Rather hostile     0.414286
Very hostile       0.307143
Neutral            0.278571
Rather friendly    0.000000
Very friendly      0.000000
Name: ESTONIAF, dtype: float64"
74,['75.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Poland is toward Russia today.'],"{'Very hostile': [74.00225086342694, 9.068315738404307]}","Rather hostile     0.502041
Very hostile       0.326531
Neutral            0.167347
Rather friendly    0.004082
Very friendly      0.000000
Name: POLANDF, dtype: float64","Rather hostile     0.514286
Very hostile       0.352381
Neutral            0.123810
Rather friendly    0.009524
Very friendly      0.000000
Name: POLANDF, dtype: float64","Rather hostile     0.492857
Very hostile       0.307143
Neutral            0.200000
Rather friendly    0.000000
Very friendly      0.000000
Name: POLANDF, dtype: float64"
75,['76.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Germany is toward Russia today.'],"{'Very hostile': [62.937452539783024, 10.06568718965906]}","Rather friendly    0.467213
Neutral            0.336066
Very friendly      0.106557
Rather hostile     0.081967
Very hostile       0.008197
Name: GERMANYF, dtype: float64","Rather friendly    0.500000
Neutral            0.317308
Very friendly      0.105769
Rather hostile     0.067308
Very hostile       0.009615
Name: GERMANYF, dtype: float64","Rather friendly    0.442857
Neutral            0.350000
Very friendly      0.107143
Rather hostile     0.092857
Very hostile       0.007143
Name: GERMANYF, dtype: float64"
76,['77.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Japan is toward Russia today.'],"{'Neutral': [59.90588761609482, 15.49261308881633], 'Very hostile': [44.867956935943745, 0]}","Rather friendly    0.404959
Neutral            0.396694
Rather hostile     0.115702
Very friendly      0.070248
Very hostile       0.012397
Name: JAPANF, dtype: float64","Rather friendly    0.432692
Neutral            0.413462
Rather hostile     0.067308
Very friendly      0.067308
Very hostile       0.019231
Name: JAPANF, dtype: float64","Neutral            0.384058
Rather friendly    0.384058
Rather hostile     0.152174
Very friendly      0.072464
Very hostile       0.007246
Name: JAPANF, dtype: float64"
77,['78.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Georgia is toward Russia today.'],"{'Very hostile': [75.9481302307536, 9.214727236698605]}","Rather hostile     0.576132
Very hostile       0.213992
Neutral            0.201646
Rather friendly    0.004115
Very friendly      0.004115
Name: GEORGIAF, dtype: float64","Rather hostile     0.542857
Very hostile       0.257143
Neutral            0.180952
Rather friendly    0.009524
Very friendly      0.009524
Name: GEORGIAF, dtype: float64","Rather hostile     0.601449
Neutral            0.217391
Very hostile       0.181159
Rather friendly    0.000000
Very friendly      0.000000
Name: GEORGIAF, dtype: float64"
78,['79.  Please tell me how friendly or hostile A typical member of the Russian elites thinks European Union is toward Russia today.'],"{'Very hostile': [74.64415810661325, 10.050252727495883]}","Neutral            0.473251
Rather friendly    0.341564
Rather hostile     0.127572
Very friendly      0.045267
Very hostile       0.012346
Name: EUF, dtype: float64","Neutral            0.480769
Rather friendly    0.326923
Rather hostile     0.115385
Very friendly      0.057692
Very hostile       0.019231
Name: EUF, dtype: float64","Neutral            0.467626
Rather friendly    0.352518
Rather hostile     0.136691
Very friendly      0.035971
Very hostile       0.007194
Name: EUF, dtype: float64"
79,['80.  Please tell me how friendly or hostile A typical member of the Russian elites thinks Great Britain is toward Russia today.'],"{'Very hostile': [79.48228199330582, 7.980295650386645]}","Rather hostile     0.477551
Very hostile       0.195918
Neutral            0.191837
Rather friendly    0.126531
Very friendly      0.008163
Name: GBF, dtype: float64","Rather hostile     0.361905
Very hostile       0.247619
Neutral            0.238095
Rather friendly    0.152381
Very friendly      0.000000
Name: GBF, dtype: float64","Rather hostile     0.564286
Neutral            0.157143
Very hostile       0.157143
Rather friendly    0.107143
Very friendly      0.014286
Name: GBF, dtype: float64"
80,['81.  Please tell me how friendly or hostile A typical member of the Russian elites thinks NATO is toward Russia today.'],"{'Very hostile': [84.81964532197824, 7.77233365857337]}","Very hostile       0.426778
Rather hostile     0.359833
Neutral            0.175732
Rather friendly    0.029289
99.0               0.008368
Name: NATOF, dtype: float64","Very hostile       0.432692
Rather hostile     0.307692
Neutral            0.211538
Rather friendly    0.038462
99.0               0.009615
Name: NATOF, dtype: float64","Very hostile       0.422222
Rather hostile     0.400000
Neutral            0.148148
Rather friendly    0.022222
99.0               0.007407
Name: NATOF, dtype: float64"
